Title_of_book,Authors,Average_rating,Num_pages,Ratings_count
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,652,2095690
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,870,2153167
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,352,6333
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,435,2339585
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,2690,41428
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,152,19
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,3342,28242
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815,3628
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815,249558
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,215,4930
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,6,1266
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815,2877
A Short History of Nearly Everything,Bill Bryson,4.21,544,248558
Bill Bryson's African Diary,Bill Bryson,3.44,55,7270
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,256,2088
In a Sunburned Country,Bill Bryson,4.07,335,72451
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,304,49240
The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,299,45712
Neither Here nor There: Travels in Europe,Bill Bryson,3.86,254,48701
Notes from a Small Island,Bill Bryson,3.91,324,80609
The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,270,28489
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,1728,101233
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,1184,1710
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,398,2128944
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,1216,1618
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,218,19822
The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,224,359
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,558,1430
Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,208,270244
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,48,36
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,144,2067
Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,56,6
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,228,99
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,304,167
Changeling (Changeling  #1),Delia Sherman,3.6,256,978
The Changeling Sea,Patricia A. McKillip,4.06,137,4454
The Changeling,Zilpha Keatley Snyder,4.17,228,1176
The Changeling,Kate Horsley,3.55,339,301
The Changeling (Daughters of England  #15),Philippa Carr,3.98,369,345
The Known World,Edward P. Jones,3.83,388,29686
The Known World,Edward P. Jones/Kevin R. Free,3.83,14,55
The Known World,Edward P. Jones,3.83,576,22
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,334,1456
Artesia: Adventures in the Known World,Mark Smylie,4.13,352,52
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,416,562
Uncommon Carriers,John McPhee,3.95,248,1630
Heirs of General Practice,John McPhee,4.17,128,268
The Control of Nature,John McPhee,4.24,288,3498
Annals of the Former World,John McPhee,4.34,720,3115
Coming Into the Country,John McPhee,4.22,448,5704
La Place de la Concorde Suisse,John McPhee,3.92,160,698
Giving Good Weight,John McPhee,4.23,288,542
Rising from the Plains,John McPhee,4.23,208,1341
The Heidi Chronicles,Wendy Wasserstein,3.75,81,1423
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,249,2766
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,138,31
Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,128,62
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,192,860
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,108,77
Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,352,153317
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,192,55
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,192,34
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,832,11797
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,123,34
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,128,78
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,423,2785
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,436,38778
Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,331,97494
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,592,784
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,480,272
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,426,4789
Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,471,45388
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,192,26153
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,544,69167
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,291,45
The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,256,16
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,205,174
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,240,10
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,336,76
eBay for Dummies,Marsha Collier,3.5,386,111
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,260,24
Starting an eBay Business for Dummies,Marsha Collier,3.55,384,55
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,260,9
ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,391,22
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,864,17
Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,873,166
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,240,50
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,206,13
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,514,64
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,838,16643
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,960,109420
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,837,2904
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,80,16
Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,803,9564
Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,752,474
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,803,303
Dinner with Anna Karenina,Gloria Goldreich,2.99,360,411
Tolstoy: Anna Karenina,Anthony Thorlby,4.19,128,1204
Untouchable,Mulk Raj Anand/E.M. Forster,3.71,160,3429
The Untouchable,John Banville,3.95,367,2163
The Untouchables,Eliot Ness/Oscar Fraley,3.89,256,613
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,320,308
Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,100,10
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,224,16
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,216,10
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4,48,17
Wrinkles in Time,George Smoot/Keay Davidson,4.01,360,1035
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4,250,36
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,32,15
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4,205,6
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,367,376
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,352,3086
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,320,352
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,331,9852
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,244,821
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,215,731
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,191,2897
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,144,98
I am Charlotte Simmons,Tom Wolfe,3.42,738,20888
Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,48,66
The Puffin Book of Nonsense Verse,Quentin Blake,4.02,287,81
Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,217,981
Quiet Days in Clichy,Henry Miller,3.69,154,3381
Tropic of Cancer,Henry Miller/Jiří Níl,3.68,318,53206
Tropic of Capricorn,Henry Miller,3.78,348,14872
Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,316,3261
Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,506,7805
The Air-Conditioned Nightmare,Henry Miller,3.83,292,2699
The Portrait of a Lady,Henry James/Patricia Crick,3.78,797,61640
The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,635,392
Writing,Marguerite Duras,3.75,91,778
The War,Marguerite Duras/Barbara Bray,3.85,192,963
The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,181,2057
Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,178,203
Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,464,35
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,102,328
Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,216,1308
The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,132,6432
Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,100,3015
Treasure Island,Robert Louis Stevenson,3.83,311,318753
Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,213,420
Treasure Island,Robert Louis Stevenson,3.83,245,5967
Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,64,104
Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,272,56
Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,232,91
100 Years of Lynchings,Ralph Ginzburg,4.61,270,88
Cien años de soledad,Gabriel García Márquez,4.07,448,63
On Beyond Zebra!,Dr. Seuss,4.04,64,2815
The Wedding Clause,Debbie Raleigh,3.6,256,95
The Zebra Wall,Kevin Henkes,3.44,147,217
El perfume: Historia de un asesino,Patrick Süskind,4.02,239,4136
The Door Into Summer,Robert A. Heinlein,4.01,304,17232
Stranger in a Strange Land,Robert A. Heinlein,3.92,528,251872
To Sail Beyond the Sunset,Robert A. Heinlein,3.87,434,10293
Job: A Comedy of Justice,Robert A. Heinlein,3.78,439,15970
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,256,6898
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,307,67803
The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,298,22091
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,368,2623
Douglas Adams's Starship Titanic,Terry Jones,3.6,256,885
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,336,5
The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,72,100
On Bullshit,Harry G. Frankfurt,3.57,67,9358
Another Bullshit Night in Suck City,Nick Flynn,3.78,347,9318
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,317,120
The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,32,5239
Underworld,Don DeLillo,3.92,827,1505
Libra,Don DeLillo,3.99,480,11857
Americana,Don DeLillo,3.43,377,393
Running Dog,Don DeLillo,3.43,256,1356
Cosmopolis,Don DeLillo,3.22,224,460
Great Jones Street,Don DeLillo,3.48,272,2492
The Names,Don DeLillo,3.64,339,3100
Against the Day,Thomas Pynchon,4.13,1085,5296
V.,Thomas Pynchon,3.96,547,1415
The Crying of Lot 49,Thomas Pynchon,3.69,152,2161
Gravity's Rainbow,Thomas Pynchon,4.01,784,762
Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,773,8086
Vineland,Thomas Pynchon,3.69,385,702
Gravity's Rainbow,Thomas Pynchon,4.01,776,29764
Slow Learner: Early Stories,Thomas Pynchon,3.5,193,334
Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.8,352,2473
The Year of Magical Thinking,Joan Didion,3.89,227,2656
The White Album,Joan Didion,4.17,222,11889
A Book of Common Prayer,Joan Didion,3.8,272,2962
Where I Was From,Joan Didion,3.86,240,2842
Slouching Towards Bethlehem,Joan Didion,4.21,238,26934
Democracy,Joan Didion,3.81,234,2070
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.5,1122,1564
Play It As It Lays,Joan Didion/David Thomson,3.87,231,23656
The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,308,43200
City of Glass (The New York Trilogy  #1),Paul Auster,3.79,203,12410
Ghosts (The New York Trilogy  #2),Paul Auster,3.64,96,3672
The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,179,2998
Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,3.89,256,74
The Brooklyn Follies,Paul Auster,3.84,306,17977
Moon Palace,Paul Auster,3.94,320,16099
The Music of Chance,Paul Auster,3.9,217,361
Travels in the Scriptorium,Paul Auster,3.23,145,6688
Leviathan,Paul Auster,3.96,275,11744
